recordid,songid_DBNL,jaar_eind,jaar_begin,bronid,rijmaccent,rijmgeslacht,rijmschema,strofeschema,strofeschema_plus,trefw_genre,aantal_strofe,verstal,text,melodienorm,plaats,filepath_DBNL
130689,_thi001thir09_0015,1711,1711.0,1016158,444443223,vmvmmvmmv,aBaBBcDDc,4a 4B 4a 4B 4B 3c 2D 2D 3c,4a    4B    4a    4B    4B    3c    2D   2D 3c,"liefdeslied
dialooglied, wereldlijk",19,9,"Kom mijn hartje, kom mijn troosje,
Kom mijn lieve Liefje, kom!
Kom, kom, vryen wy een poosje,
Trekken wy de Veenen om!
Tussen 't bruggetje en de krom,
In dat houte huisje:
Gaen wy daer,
Met malkaer.
Kom mijn soete Buisje!

Heer, ’t is daer soo mooy te vryen!
’t Is er veylig, ’t is ‘er vry.
Ik sal my in ‘t holtje   vleyen,
Vley jy jou dan aan mijn zy.
Soetertje, daer sullen wy
Samen ’t Wijntje poyen.
‘k Sal daer in
Na jou zin
Suiker laten stroyen.

‘k Sal u Koek en Vijgen koopen,
‘k Sal u koopen watje wilt!
‘k Sal jou Schorteldoek ophoopen,
‘k Heb een buy, ik ben nu milt.
Ik heb in lang geen geld verspilt,
Soete lieve meisje,
Want ik pooy
Slegts by hooy
En by gras   een reisje.

Ik en mag niet langer praten:
Wilje ’t doen, kom, gaen wy heen,
Wilje niet, gy meugt het laten,
‘k Ben al evenwel te vreen.
Geef jy my een blauwe scheen,
Heb jy sulke grillen,
Grage Geert
Van Culsteert,
Sel dan nog wel willen.

Wil je ’t doen, myn Suikerdoosje?
Knikt een reisje, dat is ja.
Sieje dat wel, lieve Joosje:
Dat ’s jou voorby, volgt my na!
Kyk hoe mooitjes dat ik ga
Met mijn Lief heen douwen.
Ik hoop, ik sel
Met heur wel
Dapper Kermis houwen.

Liefje, nu zijn wy veur ’t deurtje.
Hoort wat is daer een geluid!
Kyken wy eens door het scheurtje
Wat of dat geraes beduid:
Joris die speeld op zijn Fluit,
Tryntje trommelt op het schotje,
Feytje springht,
Zytje singt,
Zymen is het sotje.

Goeden avond allegader,
Hem zik, hey zik, hou zik, hou!
Liefste, treden wy wat nader,
Gaen wy sitten by de schou.
Lieve Feitje brengt ons nou
Hier eens van den klaren.
Maektse soet
Want gy moet
Nou geen suiker sparen.

Maakt het na myn Vrysters mondje,
Maakt het dog soo soet je kent!
Liefste, dat ’s een lieflyk dronkje,
Smaakt jou dat niet excellent?
Meugje dat niet uit?   Jy bent
Seker al te olyk!
Hey za, za,
Fa la la,
‘t Wyntje maekt my vrolyk.

Peetje, haald ons wat te kluiven,
Maekt ons een banketje ree.
Brengt wat witte of blauwe druiven,
Lang Rozijnen, mangelen   mee.
Brengt een Wafeltje of twee,
Wiltse wel op maken:
Bakse hol  ,
Strooitse vol,
Datse lekker smaken.

Brengt wat Appelen, Noten, Vygen,
Brengt wat Heilikmakers koek!
Lief, als wy dat goedtje krijgen,
Doet het in jou schorteldoek.
Laten wy nou om een hoek
Met malkander reien:
Laet ons gaen
Hier van daan,
Ik moet jou nog wat vreien.

’t Is wel jaer en dag geleden,
Lieve Liefje, dat ik jou
In mijn hert heb aengebeden
En verkoren tot een Vrouw.
Na lang driegen   moet ik nou
Mijn druk en bezwaren,
Al de smert
Van mijn hert,
Jou eens openbaren.

Door een winkje, door een lonkje,
Soete schaepje, lieve lam,
Was het dat het Minnevonkje
Zijn beginsel in myn nam.
Ziet, ei, wat een groote vlam
Hem aen allen zyden
Wyd uitspreid,
Mijn bereid
Sulken bitter lijden.

Als in ’t vier, schier alle dagen,
Leeft en zweeft 't Salmander dier,
Leef ik, zweef ik in míjn plagen,
Tot asch ik verander schier.
Wie is dog soo schrander hier
Of soo kloek van sinnen:
‘k Meen niemand
Dese brand
Ligt kan overwinnen.

Duisend, duisend, duisend werven
Denk ik om jou in een dag,
Duisend dooden moet ik sterven,
Mits ik u moet derven, ag!
Dat ik u niet erven mag,
Mag ik wel beklagen.
Gy alleen,
Anders geen,
Kan mijn hert behagen.

O pronk-parel die op aerden,
Nu in ’t bloejen van uw tyd,
Als een Phoenix hoog van waerden,
Eensaem sonder weerga zijt!
Soo gy dus uw leven slijt
’t Sal jou seker rouwe:
Neemt my an
Tot uw Man,
Ik neem u tot mijn Vrouwe.

‘k Sal jou sulke giften geven,
Sulken lieven waerde schat,
Datje nog noit van jou leven
Diergelyk en hebt gehad.
Hartje diefje, ik seg jou dat:
‘k Sal, voor alle saken,
In jou jeugd
Jou met vreugd
Soeken te vermaken.

‘k Sal jou agten, ‘k sal jou eeren,
‘k Sal al doen dat gy gebied.
’t Sal mijn moejen, ’t sal myn deeren,
Als u eenig leed geschied.
Zoetertje, ey, sorgt het niet
Dat ik u sal verlaten.
O mijn schoon,
Uw persoon
Sal ik nimmer haten.

'k Sal jou soo lang liefde dragen
Als mijn oogen open staen;
Zoo lang Phoebus met zijn wagen
In het Oosten sal opgaan.
Zoo lang als de Silvre Maen
En de Winter-vuuren
Aen den Throon
Staen ten toon,
Sal mijn liefde duuren.

Princes, al mijn lieflick smeeken
Doet, my dunkt, my gants geen baet.
Ik mag hier nou een speld by steken,
‘k Heb mijn mond al droog gepraat.
Ik wens, als gy slapen gaet,
Gy wat van my meugt droomen.
Ik seg adieu,
Tot op nu
Als ik weer sal komen.",Wat mag Goossen toch gebreken,Amsterdam,../../data/dbnl/_thi001thir09_01.xml
190506,_ora003oran01_0069,1788,1788.0,1016540,3333333333,mmvmmvmmvm,AAbACbDDeD,3A 3A 3b 3A 3C 3b 3D 3D 3e 3D,.3A   .3A   .3b   .3A   .3C   .3b   .3D=  .3D   .3e   .3D=,,19,10,"Terwyl 't nu is geschied,
Dat 't Vrycorps is te niet,
Door tyds omwentelingen,
Terwyl 't nu is geschied;
Zoo zullen wy te zaam,
Van vreugd Victorie zingen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

De Prins van ons bemint,
Zyn haaters nu verwint,
Laat ons van blydschap springen,
Hy is ons beste vrind,
Nu zullen wy te zaam
Van vreugd victorie zingen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

De Fyne kuypery,
Die veelen bragt in Ley
Door Armiaansche benden;
Die syne kuypery,
Van 't Moordrot is ondekt,
En ingetrapt de lenden.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Nu zal geen Gyzelaar
Het land meer in gevaar,
Of tweespalt kunnen brengen,
Nu zal men Gyzelaar,
Zoo listig, als Brutaal,
Nooit in den Raad gehengen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Laat die Aap van de Wit
Aan 't Y, daar hy nu zit,
Zyn troubel bier maar brouwen.
Het zal dat snoode Lit,
Schoon t' Amsterdam gevlucht,
Hier na wel Eeuwig rouwen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Een Bleiswyk zal nu niet
Tot yder eens verdriet,
Zyn loozen rol meer speelen;
Een Bleiswyk zal nu niet,
Wiens snoodheid is ontdekt,
Sireenen zang-meer kweelen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Van Berkel zal niet meer
Met Visscher, naar begeer
's Lands welvaart ondervroeten:
Verbonden maaken weer
Waar van de Staat niets weet
Maar hunne snoodheid boeten.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Casteel en Zeeberg zal
Tot Haarlems ongeval,
Geen nieuwe wet meer maaken;
Wy zien met bly geschal
Hen van hun post ontzet:
Zy moesten 't alles staaken
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

't Defensie-weezen, dat
Haar Hoogheid had gevat,
Moest meê zyn biezen pakken.
't Verkwiste wel een schat:
Verhief zich boven al'
Maar liet den Moed ras zakken.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Een woeste Legermacht,
Wie had het ooit gedacht,
Mogt strafloos Burgers drukken.
Nu is haar kragt verkragt,
Gesmolten en gevlugt,
Betreuren zy die nukken.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Cartouches Bende zal,
Vervult met bitt'ren gal,
Den Burger niet meer plonderen.
Cartouches Bende zal
Geen vloeken op de Prins
Thans opentlyk meer donderen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Een Schuurman en Verlem
Zyn deerlyk in de klem;
Om hunne schandgeschriften.
Nu zal geen Jan Verlem
Meer geeven ryke stof
Tot voedsel van de driften.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Costerus 't galgeäas,
Nog Fynje maakt geraas.
Zy moesten meê al vluchten,
Met Post en Kruijers baas;
En komen zy eens weer
De galg staat hun te duchten.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Geen Klopper, Enschedé,
Nog Utrechts Lasteraar meê
Durft thans van Nero kikken
Geen Klopper, Enschedé,
Vloekt thans meer op den Prins,
Maar beeft alle oogenblikken.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Geen Sluis en Delfsch' Rot,
Dat Recht en Wet bespot
Zal nu meer braaven kwellen,
Of dryven boos en zot,
Al het Oranje Vee
Voor in de spits te stellen.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Ja! GOD heeft ons gered,
Door Pruissen perk gezet,
Aan heerschzucht, en doen beeven,
Die 't moordzwaard had gewet
Looft GOD! - En roept te zaam,
Dat Pruissens Koning Leeve!
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Lang leef ook, onze Vorst!
Die zo veel laster torscht;
Met zyne-Gemalinne!
Elk roept uit volle borst.
Lang leef hun dierbaar Kroost!
Dat elk hun teer beminne!
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Lang leef Graaf Bentinckook!
Hy deed in damp en rook,
Het muiters plan verdwynen.
Lang leef Graaf Bentinck ook!
Hy moog steeds als een Zon,
Aan Neêrlands Hemel schynen!
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.

Elk zing dan overluit;
Roept Nassouws glorie uit,
Laat ons dat Stamhuis loven!
Hier mee is 't Liedje uit.
Koomt! - Drinken wy een glas,
En roept; ORANE BOOVEN.
Nu triumpheeren wy...
Oranje op ons zy...
De Barnevelders beeven.
Nu triumpheeren wy.",Un matin brusquement,,../../data/dbnl/_ora003oran01_01.xml
